id-gol,jogador,gol_marcado,partida
1,5,1,1
2,9,1,1
3,10,1,1
4,16,1,2
5,19,1,2
6,20,1,2
7,29,2,3
8,35,1,3
9,18,1,4
10,20,1,4
11,21,1,4
12,3,1,5
13,6,1,5
14,7,1,5
15,3,1,7
16,20,1,7
17,23,1,8
18,27,1,8
19,28,1,8
20,16,1,10
21,17,1,10
22,20,2,10
23,21,1,10
24,39,2,11
25,41,2,11
26,44,1,11
27,59,1,12
28,61,1,12
29,62,1,12
30,37,1,13
31,39,1,13
32,41,1,13
33,43,1,14
34,54,2,14
35,36,1,15
36,41,1,15
37,44,1,16
38,45,1,16
39,51,1,17
40,60,1,18
41,65,1,18
42,67,1,18
43,68,1,18
44,66,1,20
45,68,1,20
46,69,1,20
47,73,1,21
48,80,1,21
49,89,1,22
50,91,1,22
51,72,1,23
52,73,1,23
53,103,1,23
54,90,1,24
55,75,1,25
56,76,1,25
57,94,1,25
58,95,1,25
59,78,1,26
60,81,1,26
61,104,1,26
62,72,1,27
63,94,1,28
64,80,1,29
65,82,1,29
66,84,1,29
67,93,1,29
68,100,1,30
69,102,1,30
70,108,2,31
71,112,1,31
72,130,1,32
73,132,1,32
74,136,1,33
75,139,1,33
76,140,1,33
77,118,1,34
78,119,1,34
79,133,1,34
80,110,1,35
81,121,1,35
82,124,1,35
83,135,1,36
84,137,1,36
85,110,1,37
86,120,1,38
87,122,2,38
88,126,1,38
89,118,1,39
90,119,1,39
91,120,1,39
92,121,1,39
93,122,1,39
94,127,1,40
95,130,1,40
96,131,1,40
97,133,1,40
98,135,1,40
99,136,1,40
100,145,2,41
101,147,2,41
102,166,1,42
103,141,1,43
104,146,1,43
105,147,2,43
106,152,1,44
107,153,1,44
108,156,1,44
109,143,1,45
110,145,1,45
111,147,1,45
112,150,1,46
113,172,3,46
114,173,1,46
115,174,2,46
118,141,1,47
119,143,1,47
120,147,1,47
121,164,1,48
122,174,1,48
123,150,1,49
124,152,2,49
125,166,1,49
126,168,1,49
127,158,1,50
128,161,1,50
129,199,1,51
130,179,1,52
131,209,1,53
132,188,1,54
133,193,1,55
134,179,1,57
135,207,1,58
136,184,1,59
137,179,1,60
138,219,1,62
139,223,1,62
140,219,2,63
141,219,2,64
142,220,1,64
143,230,1,65
144,242,1,65
145,212,1,66
146,240,2,66
147,241,2,66
148,235,1,67
149,238,3,67
150,241,1,67
151,230,2,68
152,231,5,68
153,226,1,69
154,230,1,69
155,231,2,69
156,212,2,70
157,213,1,70
158,324,1,71
159,325,2,71
160,329,1,71
161,347,2,72
162,348,1,72
166,336,1,73
167,343,1,73
168,341,1,74
169,324,1,75
170,325,2,76
171,327,2,76
172,320,1,77
173,324,1,77
174,329,2,77
175,331,1,78
176,332,1,78
177,335,1,78
178,320,1,79
179,320,1,80
180,322,1,80
181,331,1,80
182,332,2,80
183,336,1,80
184,282,1,81
185,310,1,81
186,312,1,81
188,284,2,83
189,282,1,84
190,284,1,84
191,294,2,84
192,296,1,85
193,299,1,85
194,301,2,85
195,310,2,86
196,312,1,86
197,314,1,86
198,291,1,87
199,294,2,87
200,296,2,88
201,308,1,88
202,294,2,89
203,296,1,89
204,305,1,90
205,284,2,82
206,249,1,91
207,263,1,91
208,264,1,91
209,265,2,91
210,254,1,92
211,259,1,92
212,526,2,92
213,264,2,93
214,265,2,93
215,275,1,94
216,249,1,95
217,259,1,95
218,249,2,96
219,250,1,96
220,271,1,96
221,249,1,97
222,279,2,97
223,255,3,98
224,259,1,98
225,526,1,98
226,527,1,98
227,275,1,99
228,277,1,99
229,275,1,100
230,276,2,100
231,279,1,100
232,354,1,101
233,355,1,101
234,356,1,101
235,360,2,101
236,382,1,102
237,383,1,102
238,385,1,102
239,352,1,103
240,357,3,103
241,371,1,103
242,352,1,104
243,374,1,104
244,384,1,105
245,362,1,106
246,364,1,106
247,382,3,108
248,383,1,108
249,374,2,109
250,377,1,109
251,382,1,109
252,383,2,109
253,367,2,110
254,371,1,110
255,391,1,111
256,410,1,111
257,397,2,112
258,409,1,112
259,410,1,112
260,412,1,113
261,529,1,113
262,530,1,113
263,410,1,114
264,416,1,114
265,418,1,114
266,419,2,114
267,420,1,114
268,392,2,115
269,396,1,115
270,391,1,116
271,401,2,116
272,529,1,116
273,530,2,116
274,416,1,117
275,418,2,117
276,420,2,117
277,398,2,118
278,416,1,119
279,418,1,119
280,420,1,119
281,416,1,120
282,419,1,120
283,530,2,120
284,423,1,121
285,424,1,121
286,425,1,121
287,423,2,122
288,438,2,122
289,432,1,123
290,433,1,123
291,422,1,124
292,425,1,124
293,444,2,124
294,437,2,125
295,438,2,125
296,440,2,125
297,431,1,126
298,434,1,126
299,455,1,126
300,444,2,127
301,446,1,127
302,447,1,127
303,437,1,128
304,440,1,128
305,432,1,130
306,433,3,130
307,434,1,130
308,465,1,131
309,469,1,131
310,457,1,132
311,459,2,132
312,460,1,132
313,485,1,133
314,489,3,133
315,479,1,134
316,482,1,134
317,457,1,135
318,458,1,135
319,459,1,135
320,485,1,136
321,486,2,136
322,488,2,136
323,474,3,137
324,485,1,138
325,486,1,138
326,457,1,139
327,460,1,139
328,462,1,139
329,482,1,139
330,485,2,140
331,503,2,141
332,492,1,142
333,496,1,142
334,497,3,142
335,506,1,143
336,522,2,144
337,496,1,145
338,497,1,145
339,503,1,145
340,503,1,146
341,507,2,146
342,508,1,146
343,503,1,147
344,496,1,148
345,496,2,149
346,497,2,149
347,507,1,150
348,508,1,150