id_inscricao,id_competicao,id_equipe,data_inscricao,grupo,id_fase
1,4,71,2026-06-24 15:11:35.762271+00,f,1
2,4,20,2026-06-24 15:11:35.762271+00,f,1
3,4,68,2026-06-24 15:11:35.762271+00,f,1
4,4,8,2026-06-24 15:11:35.762271+00,f,1
5,4,32,2026-06-24 15:11:35.762271+00,f,1
6,4,34,2026-06-24 15:11:35.762271+00,a,1
7,4,16,2026-06-24 15:11:35.762271+00,a,1
8,4,74,2026-06-24 15:11:35.762271+00,a,1
9,4,6,2026-06-24 15:11:35.762271+00,a,1
10,4,35,2026-06-24 15:11:35.762271+00,a,1
11,4,44,2026-06-24 15:11:35.762271+00,b,1
12,4,54,2026-06-24 15:11:35.762271+00,b,1
13,4,63,2026-06-24 15:11:35.762271+00,b,1
14,4,66,2026-06-24 15:11:35.762271+00,b,1
15,4,62,2026-06-24 15:11:35.762271+00,b,1
16,4,57,2026-06-24 15:11:35.762271+00,c,1
17,4,19,2026-06-24 15:11:35.762271+00,c,1
18,4,31,2026-06-24 15:11:35.762271+00,c,1
19,4,15,2026-06-24 15:11:35.762271+00,c,1
20,4,46,2026-06-24 15:11:35.762271+00,c,1
21,4,25,2026-06-24 15:11:35.762271+00,d,1
22,4,43,2026-06-24 15:11:35.762271+00,d,1
23,4,23,2026-06-24 15:11:35.762271+00,d,1
24,4,59,2026-06-24 15:11:35.762271+00,d,1
25,4,28,2026-06-24 15:11:35.762271+00,d,1
26,4,33,2026-06-24 18:20:08.275811+00,e,1
27,4,60,2026-06-24 18:20:08.275811+00,e,1
28,4,7,2026-06-24 18:20:08.275811+00,e,1
29,4,11,2026-06-24 18:20:08.275811+00,e,1
30,4,45,2026-06-24 18:20:08.275811+00,e,1
31,4,10,2026-06-27 16:25:26.238565+00,g,1
32,4,39,2026-06-27 16:25:26.238565+00,g,1
33,4,64,2026-06-27 16:25:26.238565+00,g,1
34,4,49,2026-06-27 16:25:26.238565+00,g,1
35,4,69,2026-06-27 16:25:26.238565+00,g,1
36,4,29,2026-06-27 16:31:17.779577+00,h,1
37,4,58,2026-06-27 16:31:17.779577+00,h,1
38,4,30,2026-06-27 16:31:17.779577+00,h,1
39,4,65,2026-06-27 16:31:17.779577+00,h,1
40,4,18,2026-06-27 16:31:17.779577+00,h,1
41,4,55,2026-06-27 17:28:52.852961+00,i,1
42,4,21,2026-06-27 17:28:52.852961+00,i,1
43,4,51,2026-06-27 17:28:52.852961+00,i,1
44,4,42,2026-06-27 17:28:52.852961+00,i,1
45,4,26,2026-06-27 17:28:52.852961+00,i,1
46,4,75,2026-06-27 18:09:15.459006+00,j,1
47,4,36,2026-06-27 18:09:15.459006+00,j,1
48,4,61,2026-06-27 18:09:15.459006+00,j,1
49,4,47,2026-06-27 18:09:15.459006+00,j,1
50,4,5,2026-06-27 18:09:15.459006+00,j,1
51,4,67,2026-06-27 23:13:45.279038+00,k,1
52,4,52,2026-06-27 23:13:45.279038+00,k,1
53,4,4,2026-06-27 23:13:45.279038+00,k,1
54,4,40,2026-06-27 23:13:45.279038+00,k,1
55,4,53,2026-06-27 23:13:45.279038+00,k,1
56,4,3,2026-06-27 23:13:45.279038+00,l,1
57,4,17,2026-06-27 23:13:45.279038+00,l,1
58,4,48,2026-06-27 23:13:45.279038+00,l,1
59,4,56,2026-06-27 23:13:45.279038+00,l,1
60,4,38,2026-06-27 23:13:45.279038+00,l,1
61,4,72,2026-06-27 23:13:45.279038+00,m,1
62,4,41,2026-06-27 23:13:45.279038+00,m,1
63,4,27,2026-06-27 23:13:45.279038+00,m,1
64,4,50,2026-06-27 23:13:45.279038+00,m,1
65,4,13,2026-06-27 23:13:45.279038+00,m,1
66,4,2,2026-06-27 23:13:45.279038+00,n,1
67,4,9,2026-06-27 23:13:45.279038+00,n,1
68,4,22,2026-06-27 23:13:45.279038+00,n,1
69,4,24,2026-06-27 23:13:45.279038+00,n,1
70,4,37,2026-06-27 23:13:45.279038+00,n,1
71,4,14,2026-06-27 23:13:45.279038+00,o,1
72,4,70,2026-06-27 23:13:45.279038+00,o,1
73,4,12,2026-06-27 23:13:45.279038+00,o,1
74,4,73,2026-06-27 23:13:45.279038+00,o,1
75,4,1,2026-06-27 23:13:45.279038+00,o,1
76,4,11,2026-06-28 15:01:59.407803+00,A,2
77,4,67,2026-06-28 15:02:19.909763+00,A,2
78,4,39,2026-06-28 15:02:33.539871+00,A,2
79,4,2,2026-06-28 15:02:44.017872+00,A,2
80,4,14,2026-06-28 15:02:53.149176+00,A,2
81,4,37,2026-06-28 15:03:25.41818+00,B,2
82,4,6,2026-06-28 15:03:37.463197+00,B,2
83,4,8,2026-06-28 15:03:48.43498+00,B,2
84,4,21,2026-06-28 15:03:56.47078+00,B,2
85,4,41,2026-06-28 15:04:05.126506+00,B,2
86,4,1,2026-06-28 15:04:25.053602+00,C,2
87,4,3,2026-06-28 15:04:35.169473+00,C,2
88,4,44,2026-06-28 15:04:46.101164+00,C,2
89,4,57,2026-06-28 15:04:55.723914+00,C,2
90,4,49,2026-06-28 15:05:05.306309+00,C,2
91,4,29,2026-06-28 15:05:24.288108+00,D,2
92,4,5,2026-06-28 15:05:34.603338+00,D,2
93,4,27,2026-06-28 15:05:42.492524+00,D,2
94,4,23,2026-06-28 15:05:54.772559+00,D,2
95,4,61,2026-06-28 15:06:04.268844+00,D,2